"","datetime","country","shape"
"50450",2020-05-03,"us","changing"
"34148",2020-03-01,"us","changing"
"57149",2020-06-23,"us","changing"
"3468",2019-10-20,"us","changing"
"40061",2019-04-01,"us","changing"
"40610",2020-04-13,"us","changing"
"30786",2020-02-21,"us","changing"
"48041",2020-05-19,"us","changing"
"53415",2020-06-01,"us","changing"
"65964",2020-07-23,"us","changing"
"48958",2020-05-23,"us","changing"
"47270",2020-05-15,"us","changing"
"85444",2020-09-22,"us","changing"
"61816",2020-07-01,"us","changing"
"35671",2020-03-17,"gb","changing"
"63929",2020-07-16,"gb","changing"
"63931",2020-07-16,"gb","changing"
"2767",2019-10-17,"us","changing"
"60467",2020-06-08,"us","changing"
"83737",2019-09-18,"us","changing"
"52956",2019-06-01,"us","changing"
"49069",2020-05-24,"us","changing"
"85489",2020-09-22,"us","changing"
"41650",2020-04-17,"us","changing"
"2782",2020-10-17,"us","changing"
"23918",2020-12-31,"us","changing"
"88452",2020-09-07,"us","changing"
"78725",2020-08-31,"us","changing"
"59630",2020-06-04,"us","changing"
"17893",2020-11-08,"us","changing"
"60983",2020-07-10,NA,"changing"
"8666",2020-11-10,"us","changing"
"57297",2020-06-24,"us","changing"
"63969",2020-07-16,"us","changing"
"84034",2020-09-19,"us","changing"
"19466",2020-01-21,"us","changing"
"84388",2020-09-20,NA,"changing"
"88863",2020-09-09,"us","changing"
"30403",2020-02-19,"us","changing"
"32910",2020-02-06,"us","changing"
"45602",2020-04-09,"us","changing"
"43204",2020-04-24,"us","changing"
"13811",2020-11-22,"us","changing"
"54014",2020-06-14,"us","changing"
"7108",2019-10-05,NA,"changing"
"37310",2020-03-25,"us","changing"
"70696",2020-07-07,"us","changing"
"25385",2019-12-06,"us","changing"
"32048",2020-02-27,"us","changing"
"83223",2020-09-15,"us","changing"
"5005",2020-10-25,"us","changing"
"31711",2019-02-25,"us","changing"
"42116",2019-04-20,"us","changing"
"4186",2019-10-22,"us","changing"
"57917",2020-06-26,"us","changing"
"20706",2019-12-17,"us","changing"
"49721",2020-05-28,"us","changing"
"57629",2020-06-25,"us","changing"
"69171",2020-07-04,"us","changing"
"67710",2020-07-30,"us","changing"
"50991",2019-05-06,"us","changing"
"12444",2020-01-01,NA,"changing"
"13346",2020-11-02,"ca","changing"
"29561",2019-02-15,"us","changing"
"24654",2019-12-04,"us","changing"
"24670",2019-12-04,"us","changing"
"28697",2020-02-11,"us","changing"
"45222",2020-04-07,"us","changing"
"36417",2020-03-21,"us","changing"
"60119",2020-06-06,"us","changing"
"182",2020-10-10,"us","changing"
"4732",2020-10-24,"us","changing"
"4995",2020-10-25,"us","changing"
"15002",2020-11-28,"us","changing"
"18621",2020-01-20,"us","changing"
"21861",2020-12-02,"us","changing"
"38560",2020-03-04,"us","changing"
"41345",2020-04-16,"us","changing"
"86334",2020-09-26,"us","changing"
"40306",2020-04-01,NA,"changing"
"37562",2020-03-27,"us","changing"
"6566",2020-10-31,NA,"changing"
"48779",2020-05-22,"us","changing"
"3444",2019-10-20,"us","changing"
"25986",2020-12-07,NA,"changing"
"18812",2020-12-10,"us","changing"
"11522",2020-11-18,"us","changing"
"11528",2020-11-18,"us","changing"
"41360",2020-04-16,"us","changing"
"3171",2020-10-18,NA,"changing"
"353",2020-10-11,"gb","changing"
"18835",2020-12-10,"us","changing"
"38140",2020-03-30,"us","changing"
"42023",2020-04-19,"us","changing"
"67424",2020-07-29,"us","changing"
"25777",2020-01-27,"us","changing"
"55244",2020-06-16,"us","changing"
"59460",2020-06-03,"us","changing"
"82243",2020-09-13,NA,"changing"
"37730",2020-03-28,"us","changing"
"20339",2020-12-15,"us","changing"
"62391",2020-07-13,NA,"changing"
"8285",2020-01-10,"gb","changing"
"76381",2020-08-22,"us","changing"
"58709",2019-06-30,NA,"changing"
"31226",2020-02-22,"us","changing"
"31446",2020-02-23,"us","changing"
"63604",2020-07-15,"us","changing"
"3504",2020-10-20,"us","changing"
"74682",2020-08-17,"us","changing"
"82488",2020-09-14,"us","changing"
"48794",2020-05-22,"us","changing"
"71414",2020-08-10,"us","changing"
"26700",2019-01-30,"us","changing"
"35994",2020-03-19,NA,"changing"
"69257",2020-07-04,"us","changing"
"44368",2020-04-30,NA,"changing"
"51878",2020-06-10,"gb","changing"
"53611",2020-06-12,"us","changing"
"56298",2020-06-20,"ca","changing"
"51854",2020-06-10,"us","changing"
"5399",2020-10-27,"us","changing"
"22703",2020-12-25,NA,"changing"
"12365",2020-01-01,"us","changing"
"2907",2020-10-17,"us","changing"
"59779",2020-06-05,"us","changing"
"34184",2020-03-01,"us","changing"
"36950",2020-03-23,"us","changing"
"38567",2020-03-04,"us","changing"
"54903",2020-06-15,"us","changing"
"60095",2020-06-06,"us","changing"
"22079",2020-12-22,"us","changing"
"68394",2020-07-03,"us","changing"
"25679",2020-01-26,"us","changing"
"19607",2019-12-12,"us","changing"
"78690",2020-08-31,"us","changing"
"28676",2020-02-11,"us","changing"
"71366",2020-08-10,"us","changing"
"22443",2020-12-24,"ca","changing"
"26274",2020-12-08,"us","changing"
"28195",2020-01-08,"us","changing"
"67799",2020-07-30,"us","changing"
"26031",2020-01-27,"us","changing"
"62454",2020-07-13,"us","changing"
"77571",2020-08-26,"us","changing"
"34437",2020-03-12,"us","changing"
"34438",2020-03-12,"us","changing"
"53782",2020-06-13,NA,"changing"
"56892",2020-06-22,NA,"changing"
"26451",2020-01-29,NA,"changing"
"36612",2020-03-02,"us","changing"
"82928",2019-09-15,"us","changing"
"72757",2020-08-12,"ca","changing"
"74205",2020-08-15,"ca","changing"
"82947",2019-09-15,"us","changing"
"19805",2019-12-13,"us","changing"
"17393",2020-01-17,"us","changing"
"22754",2020-12-25,"us","changing"
"26979",2020-01-31,"us","changing"
"77632",2020-08-27,"us","changing"
"83363",2020-09-16,"us","changing"
"55218",2020-06-16,"us","changing"
"48488",2020-05-21,"us","changing"
"15772",2020-01-13,"us","changing"
"28868",2020-02-01,"us","changing"
"66726",2020-07-26,"us","changing"
"38143",2020-03-30,"us","changing"
"78384",2020-08-30,"us","changing"
"84662",2019-09-21,"us","changing"
"24795",2020-01-24,"us","changing"
"67501",2020-07-29,"us","changing"
"71544",2020-08-10,"gb","changing"
"2812",2020-10-17,"us","changing"
"42280",2020-04-20,"us","changing"
"5552",2020-10-28,"us","changing"
"21579",2020-12-21,"us","changing"
"39409",2020-03-08,"us","changing"
"35197",2020-03-15,NA,"changing"
"39475",2020-03-09,NA,"changing"
"85020",2020-09-02,"us","changing"
"46333",2020-05-01,"us","changing"
"22710",2020-12-25,"us","changing"
"49426",2020-05-26,"us","changing"
"46403",2020-05-01,"us","changing"
"49812",2020-05-28,"us","changing"
"55358",2020-06-17,"us","changing"
"63826",2019-07-16,"us","changing"
"68595",2019-07-04,"us","changing"
"81325",2020-09-11,"us","changing"
"85586",2020-09-23,"us","changing"
"86209",2020-09-25,"us","changing"
"70900",2020-07-08,"us","changing"
"76016",2020-08-21,"us","changing"
"87024",2020-09-29,"us","changing"
"75977",2020-08-21,"us","changing"
"20578",2020-12-16,NA,"changing"
"15193",2020-11-29,"us","changing"
"10338",2019-11-15,NA,"changing"
"1608",2020-10-13,"us","changing"
"15848",2020-11-03,"us","changing"
"53534",2020-06-12,"us","changing"
"53547",2020-06-12,"us","changing"
"83713",2020-09-17,"us","changing"
"10139",2020-11-14,"us","changing"
"4919",2019-10-25,"us","changing"
"51132",2020-05-06,"us","changing"
"16666",2020-01-15,"us","changing"
"46460",2020-05-01,"us","changing"
"11554",2020-11-18,"us","changing"
"66804",2020-07-26,NA,"changing"
"83090",2020-09-15,"us","changing"
"73130",2020-08-13,"us","changing"
"45408",2020-04-08,"us","changing"
"45409",2020-04-08,"us","changing"
"67563",2020-07-29,"us","changing"
"1256",2020-10-12,NA,"changing"
"84260",2020-09-19,NA,"changing"
"7958",2020-10-08,"us","changing"
"45213",2020-04-07,"us","changing"
"6304",2020-10-31,"us","changing"
"12857",2020-11-20,"us","changing"
"48902",2020-05-23,"us","changing"
"64488",2020-07-18,"us","changing"
"74477",2020-08-16,"us","changing"
"74478",2020-08-16,"us","changing"
"9337",2020-11-01,"us","changing"
"24572",2020-12-03,"us","changing"
"81250",2020-09-11,"us","changing"
"86116",2020-09-25,"us","changing"
"117",2020-10-10,"us","changing"
"7110",2019-10-05,"us","changing"
"69918",2020-07-05,"us","changing"
"73152",2020-08-13,"us","changing"
"83204",2020-09-15,"us","changing"
"41037",2019-04-15,"us","changing"
"43265",2020-04-24,"us","changing"
"71146",2020-07-09,"us","changing"
"17278",2019-11-07,"us","changing"
"87320",2020-09-30,"us","changing"
"11027",2020-11-16,"us","changing"
"12333",2020-01-01,"us","changing"
"12342",2020-01-01,"us","changing"
"37406",2020-03-26,"us","changing"
"40246",2020-04-01,"us","changing"
"10702",2020-11-15,"us","changing"
"66597",2020-07-25,"us","changing"
"36756",2020-03-22,"us","changing"
"84941",2019-09-02,NA,"changing"
"23599",2020-12-29,"us","changing"
"48146",2019-05-20,"us","changing"
"21255",2020-01-02,"us","changing"
"34974",2020-03-14,"us","changing"
"16792",2020-01-15,"us","changing"
"66142",2019-07-24,"us","changing"
"68891",2020-07-04,"us","changing"
"72755",2020-08-12,"us","changing"
"53667",2020-06-13,"us","changing"
